id_inscripcion,id_estudiante,codigo_asignatura,nombre_asignatura,seccion,semestre,anio,docente,nombre,rut,carrera,sede,anio_ingreso,email,estado_matricula,nota_promedio,nota_minima,nota_maxima,cantidad_evaluaciones,ponderacion_total,nota_final_ponderada,total_clases,presentes,ausentes,justificados,tardanzas,tasa_asistencia,carga_asignaturas,antiguedad_ingreso,resultado_academico,riesgo_academico,aprobado
314,7,ASG-649,Quimica,002D,1,2022,Docente No Informado,Tomas Espinoza Castro,12491053-5,Ing. Informatica,Santiago Centro,2021,sin_email_7@correo.local,Regular,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,Critico,Alto,0
739,8,ASG-422,Redes,001D,1,2022,Joaquin Flores Gatica,Barbara Tapia Tapia,14071893-7,Derecho,Santiago Centro,2021,barbara.tapia@outlook.com,Regular,6.6,6.6,6.6,1.0,10.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Sobresaliente,Alto,1
450,9,ASG-793,Calculo I,001D,1,2022,Francisca Garcia Jara,Benjamin Gatica Medina,15369011-1,Ing. Informatica,Santiago Centro,2021,benjamin.gatica@gmail.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,Critico,Alto,0
270,10,ASG-625,Contabilidad,001D,1,2022,Javiera Aguilera Vergara,Jose Araya Contreras,18203934-8,Arquitectura,Sede Norte,2024,jose.araya@outlook.com,Regular,2.5,2.5,2.5,1.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
58,13,ASG-285,Fisica,002D,1,2022,Daniela Fuentes Valenzuela,Nicolas Valenzuela Soto,15538568-2,Ing. Informatica,Sede Norte,2021,nicolas.valenzuela@gmail.com,Regular,5.1,5.1,5.1,1.0,30.0,5.1,1.0,1.0,0.0,0.0,0.0,1.0,1,1,Aceptable,Bajo,1
421,24,ASG-149,Etica,001V,1,2022,Marcela Rodriguez Zambrano,Tomas Fuentes Figueroa,10213820-8,Ing. Informatica,Vina Del Mar,2024,tomas.fuentes@gmail.com,Regular,3.1,3.1,3.1,1.0,20.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
539,25,ASG-733,Ingles,003D,1,2022,Docente No Informado,Paula Tapia Aguilera,13807750-1,Ing. Informatica,Sede Sur,2020,paula.tapia@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,Critico,Alto,0
804,26,ASG-495,Etica,001D,1,2022,Emilio Silva Silva,Martin Munoz Bravo,11489988-6,Ing. Civil,Sede Sur,2020,martin.munoz@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Critico,Alto,0
662,31,ASG-410,Contabilidad,003D,1,2022,Ana Nunez Perez,Constanza Tapia Perez,20603281-1,Derecho,Santiago Centro,2022,sin_email_31@correo.local,Congelada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
286,37,ASG-668,Ingles,002D,1,2022,Felipe Lopez Flores,Joaquin Nunez Flores,14759178-1,Administracion,Concepcion,2019,joaquin.nunez@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,Critico,Alto,0
313,37,ASG-670,Quimica,001D,1,2022,Martin Munoz Valenzuela,Joaquin Nunez Flores,14759178-1,Administracion,Concepcion,2019,joaquin.nunez@outlook.com,Regular,5.7,5.7,5.7,1.0,10.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2,3,Aceptable,Alto,1
757,39,ASG-146,Algoritmos,001D,1,2022,Jose Soto Araya,Barbara Reyes Garcia,15715330-9,Arquitectura,Santiago Centro,2021,barbara.reyes@outlook.com,Egresado,3.5,3.5,3.5,1.0,15.0,3.5,1.0,0.0,0.0,1.0,0.0,1.0,1,1,Critico,Alto,0
740,44,ASG-967,Ingles,001V,1,2022,Sebastian Torres Valenzuela,Sin Nombre,6244185-1,Enfermeria,Vina Del Mar,2020,sofia.valenzuela@gmail.com,Regular,4.9,4.4,5.4,2.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Aceptable,Alto,1
95,50,ASG-938,Calculo I,001V,1,2022,Agustin Garcia Tapia,Ignacio Diaz Fuentes,6048233-0,Derecho,Sede Sur,2022,ignacio.diaz@outlook.com,Regular,4.9,3.6,6.2,2.0,55.0,4.55,2.0,2.0,0.0,0.0,0.0,1.0,1,0,En Riesgo,Medio,1
184,51,ASG-746,Redes,003D,1,2022,Carolina Zambrano Nunez,Joaquin Jara Araya,8518523-7,Administracion,Santiago Centro,2019,joaquin.jara@gmail.com,Regular,6.9,6.9,6.9,1.0,25.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1,3,Sobresaliente,Alto,1
598,56,ASG-180,Programacion,003D,1,2022,Macarena Perez Jara,Maximiliano Castro Garcia,23219923-6,Ing. Informatica,Concepcion,2022,maximiliano.castro@gmail.com,Egresado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
155,57,ASG-860,Base De Datos,001D,1,2022,Constanza Gonzalez Zambrano,Sebastian Contreras Perez,10975976-8,Arquitectura,Sede Sur,2023,sebastian.contreras@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,Critico,Alto,0
893,57,ASG-347,Contabilidad,001D,1,2022,Isidora Nunez Sepulveda,Sebastian Contreras Perez,10975976-8,Arquitectura,Sede Sur,2023,sebastian.contreras@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,Critico,Alto,0
248,68,ASG-143,Contabilidad,001V,1,2022,Catalina Zambrano Martinez,Maximiliano Torres Torres,17348514-5,Psicologia,Sede Sur,2024,maximiliano.torres@outlook.com,Desertor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
475,69,ASG-368,Programacion,001V,1,2022,Marcela Zambrano Rodriguez,Sin Nombre,22689499-9,Administracion,Sede Norte,2022,nicolas.torres@gmail.com,Regular,3.3,1.1,5.5,2.0,30.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,1,0,En Riesgo,Alto,1
317,70,ASG-489,Redes,001D,1,2022,Joaquin Reyes Reyes,Paula Bravo Reyes,18674076-0,Arquitectura,Sede Sur,2019,paula.bravo@gmail.com,Desertor,7.0,7.0,7.0,1.0,25.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1,3,Sobresaliente,Bajo,1
610,73,ASG-744,Estadistica,001V,1,2022,Matias Jara Martinez,Natalia Rivera Lopez,9457351-8,Psicologia,Vina Del Mar,2021,natalia.rivera@outlook.com,Regular,3.6,3.6,3.6,1.0,35.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Critico,Alto,0
608,78,ASG-628,Algoritmos,001D,1,2022,Francisca Reyes Perez,Jose Gatica Sepulveda,11504524-9,Administracion,Sede Sur,2020,jose.gatica@outlook.com,Congelada,6.7,6.7,6.7,1.0,15.0,6.7,2.0,1.0,0.0,1.0,0.0,1.0,1,2,Sobresaliente,Bajo,1
490,79,ASG-132,Marketing,001V,1,2022,Docente No Informado,Jose Zambrano Araya,5244992-1,Administracion,Sede Sur,2019,jose.zambrano@outlook.com,Regular,2.5,1.7,3.3,2.0,80.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1,3,Critico,Alto,0
309,89,ASG-490,Marketing,001D,1,2022,Daniela Silva Morales,Sofia Garcia Reyes,19818624-1,Administracion,Sede Sur,2021,sofia.garcia@gmail.com,Regular,6.6,6.6,6.6,1.0,25.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Sobresaliente,Alto,1
148,91,ASG-SINCOD,Algoritmos,001V,1,2022,Macarena Hernandez Morales,Barbara Vergara Tapia,5749830-3,Ing. Informatica,Santiago Centro,2024,barbara.vergara@gmail.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,Critico,Alto,0
372,103,ASG-361,Base De Datos,001D,1,2022,Ignacio Torres Gatica,Marcela Jara Flores,21998000-8,Ing. Civil,Concepcion,2022,marcela.jara@outlook.com,Desertor,5.15,4.8,5.5,2.0,60.0,5.15,2.0,2.0,0.0,0.0,0.0,1.0,1,0,Aceptable,Bajo,1
6,108,ASG-684,Algoritmos,002D,1,2022,Fernanda Valenzuela Reyes,Maximiliano Araya Flores,10578323-1,Administracion,Sede Norte,2021,maximiliano.araya@outlook.com,Congelada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Critico,Alto,0
28,113,ASG-805,Fisica,001V,1,2022,Isidora Araya Vergara,Andres Figueroa Espinoza,21415897-8,Psicologia,Concepcion,2020,andres.figueroa@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.5,2,2,Critico,Alto,0
424,113,ASG-549,Programacion,001V,1,2022,Cristobal Hernandez Tapia,Andres Figueroa Espinoza,21415897-8,Psicologia,Concepcion,2020,andres.figueroa@outlook.com,Regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Critico,Alto,0
