id_inscripcion,id_estudiante,codigo_asignatura,semestre,anio,docente,nombre,rut,anio_ingreso,email,nota_promedio,nota_minima,nota_maxima,cantidad_evaluaciones,ponderacion_total,nota_final_ponderada,total_clases,presentes,ausentes,justificados,tardanzas,tasa_asistencia,carga_asignaturas,antiguedad_ingreso,aprobado,nota_promedio_scaled,nota_minima_scaled,nota_maxima_scaled,nota_final_ponderada_scaled,cantidad_evaluaciones_scaled,ponderacion_total_scaled,total_clases_scaled,presentes_scaled,ausentes_scaled,justificados_scaled,tardanzas_scaled,tasa_asistencia_scaled,carga_asignaturas_scaled,antiguedad_ingreso_scaled,carrera_Administracion,carrera_Arquitectura,carrera_Derecho,carrera_Enfermeria,carrera_Ing. Civil,carrera_Ing. Informatica,carrera_Psicologia,sede_Concepcion,sede_Santiago Centro,sede_Sede Norte,sede_Sede Sur,sede_Vina Del Mar,estado_matricula_Congelada,estado_matricula_Desertor,estado_matricula_Egresado,estado_matricula_Regular,nombre_asignatura_Algoritmos,nombre_asignatura_Base De Datos,nombre_asignatura_Calculo I,nombre_asignatura_Contabilidad,nombre_asignatura_Estadistica,nombre_asignatura_Etica,nombre_asignatura_Fisica,nombre_asignatura_Ingles,nombre_asignatura_Marketing,nombre_asignatura_Programacion,nombre_asignatura_Quimica,nombre_asignatura_Redes,seccion_001D,seccion_001V,seccion_002D,seccion_003D,riesgo_academico_Alto,riesgo_academico_Bajo,riesgo_academico_Medio,resultado_academico_Aceptable,resultado_academico_Critico,resultado_academico_En Riesgo,resultado_academico_Sobresaliente
314,7,ASG-649,1,2022,Docente No Informado,Tomas Espinoza Castro,12491053-5,2021,sin_email_7@correo.local,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
739,8,ASG-422,1,2022,Joaquin Flores Gatica,Barbara Tapia Tapia,14071893-7,2021,barbara.tapia@outlook.com,6.6,6.6,6.6,1.0,10.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.9429,0.9429,0.9429,0.9429,0.2,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
450,9,ASG-793,1,2022,Francisca Garcia Jara,Benjamin Gatica Medina,15369011-1,2021,benjamin.gatica@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
270,10,ASG-625,1,2022,Javiera Aguilera Vergara,Jose Araya Contreras,18203934-8,2024,jose.araya@outlook.com,2.5,2.5,2.5,1.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.3571,0.3571,0.3571,0.3571,0.2,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
58,13,ASG-285,1,2022,Daniela Fuentes Valenzuela,Nicolas Valenzuela Soto,15538568-2,2021,nicolas.valenzuela@gmail.com,5.1,5.1,5.1,1.0,30.0,5.1,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0.7286,0.7286,0.7286,0.7286,0.2,0.2143,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
421,24,ASG-149,1,2022,Marcela Rodriguez Zambrano,Tomas Fuentes Figueroa,10213820-8,2024,tomas.fuentes@gmail.com,3.1,3.1,3.1,1.0,20.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.4429,0.4429,0.4429,0.4429,0.2,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
539,25,ASG-733,1,2022,Docente No Informado,Paula Tapia Aguilera,13807750-1,2020,paula.tapia@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
804,26,ASG-495,1,2022,Emilio Silva Silva,Martin Munoz Bravo,11489988-6,2020,martin.munoz@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
662,31,ASG-410,1,2022,Ana Nunez Perez,Constanza Tapia Perez,20603281-1,2022,sin_email_31@correo.local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
286,37,ASG-668,1,2022,Felipe Lopez Flores,Joaquin Nunez Flores,14759178-1,2019,joaquin.nunez@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
